,date,venue_name,latitude,longitude,wdir,temp,maxt,visibility,wspd,cloudcover,mint,precip,snowdepth,dew,humidity,precipcover
3114,2018-05-24,Globe Life Park in Arlington,32.7513904,-97.08347649984135,152.75,26.4,31.4,9.9,8.3,12.2,20.0,0.0,0.0,19.3,67.47,0.0
3115,2018-05-24,Miller Park,43.0280619,-87.97209586840819,164.29,21.1,26.1,9.9,14.6,46.0,13.2,0.0,0.0,12.2,57.67,0.0
3116,2018-05-24,Great American Ball Park,39.09724845,-84.50662325533993,40.83,20.8,27.8,9.2,10.1,8.7,13.8,0.0,0.0,14.8,72.05,0.0
3117,2018-05-24,Oakland Coliseum,37.75167500000001,-122.19937132239198,264.0,13.5,16.2,9.7,15.9,96.6,11.8,0.0,0.0,9.1,74.87,0.0
3118,2018-05-25,Yankee Stadium,40.82958275,-73.92652118491901,235.08,25.4,30.4,9.9,16.9,18.3,18.9,0.0,0.0,11.0,41.87,0.0
3119,2018-05-25,Oakland Coliseum,37.75167500000001,-122.19937132239198,239.92,14.4,17.2,9.9,13.7,92.8,12.9,0.02,0.0,10.6,78.0,4.17
3120,2018-05-25,Fenway Park,42.346462100000004,-71.0971002033302,239.92,22.6,30.7,9.9,21.1,52.4,12.1,0.0,0.0,9.4,48.07,0.0
3121,2018-05-25,Tropicana Field,27.7680559,-82.65327550461797,111.58,25.7,29.4,9.9,18.3,39.8,24.3,1.38,0.0,23.2,86.32,20.83
3122,2018-05-25,Comerica Park,42.33915895,-83.04962481782741,210.42,22.8,29.2,10.9,12.9,9.3,14.3,0.0,0.0,11.8,51.68,0.0
3123,2018-05-25,Coors Field,39.756031400000005,-104.99292855531492,190.54,22.0,31.4,9.9,14.3,23.6,12.3,0.0,0.0,2.2,31.66,0.0
3124,2018-05-25,Progressive Field,41.4960144,-81.68420022215649,176.58,22.4,26.7,9.8,10.0,0.6,16.6,0.0,0.0,11.5,50.66,0.0
3125,2018-05-25,Globe Life Park in Arlington,32.7513904,-97.08347649984135,154.79,26.9,31.9,9.9,19.0,11.6,23.0,0.0,0.0,18.7,62.91,0.0
3126,2018-05-25,Safeco Field,47.5914138,-122.33202253168486,279.54,15.2,18.4,9.6,8.8,80.2,11.7,0.0,0.0,8.1,63.48,0.0
3127,2018-05-25,Miller Park,43.0280619,-87.97209586840819,218.04,25.0,31.0,9.9,14.6,48.9,18.9,0.0,0.0,14.9,54.44,0.0
3128,2018-05-25,Dodger Stadium,34.074552350000005,-118.24004805779221,221.79,16.9,19.8,9.9,11.0,55.3,14.1,0.0,0.0,10.6,67.23,0.0
3129,2018-05-25,Wrigley Field,41.9481225,-87.6563513145702,222.08,25.8,31.6,9.9,11.4,47.9,19.4,0.89,0.0,14.4,50.35,8.33
3130,2018-05-25,PNC Park,40.446925799999995,-80.00560626612204,198.96,22.1,29.0,9.6,9.9,21.0,13.2,0.0,0.0,14.3,63.18,0.0
3131,2018-05-25,Citizens Bank Park,39.90588575,-75.16541101747245,228.88,23.3,29.4,9.9,18.3,34.1,16.3,0.0,0.0,14.7,61.13,0.0
3132,2018-05-25,Marlins Park,25.7782474,-80.21980500744203,106.08,25.2,27.3,8.6,16.6,87.7,23.4,16.36,0.0,23.4,89.76,54.17
3133,2018-05-26,Yankee Stadium,40.82958275,-73.92652118491901,205.04,27.2,32.2,9.7,11.7,33.8,22.9,0.0,0.0,18.1,58.48,0.0
3134,2018-05-26,Oakland Coliseum,37.75167500000001,-122.19937132239198,256.96,14.3,17.9,9.4,16.0,77.5,12.3,0.0,0.0,10.6,78.82,0.0
3135,2018-05-26,Fenway Park,42.346462100000004,-71.0971002033302,200.92,24.2,31.1,9.9,16.6,64.8,16.8,0.0,0.0,14.2,56.69,0.0
3136,2018-05-26,Tropicana Field,27.7680559,-82.65327550461797,136.54,24.0,25.7,9.0,19.4,73.6,22.8,6.52,0.0,22.0,88.72,45.83
3137,2018-05-26,Comerica Park,42.33915895,-83.04962481782741,219.46,22.2,26.5,10.6,9.8,37.6,18.5,0.03,0.0,15.3,65.39,4.17
3138,2018-05-26,Coors Field,39.756031400000005,-104.99292855531492,199.75,23.6,32.8,9.9,22.2,47.2,13.8,0.0,0.0,1.3,29.34,0.0
3139,2018-05-26,Progressive Field,41.4960144,-81.68420022215649,194.17,22.6,25.1,9.2,11.3,40.5,20.7,0.04,0.0,14.9,62.8,12.5
3140,2018-05-26,Globe Life Park in Arlington,32.7513904,-97.08347649984135,160.71,28.5,35.7,9.9,10.1,7.0,20.7,0.1,0.0,18.0,56.29,4.17
3141,2018-05-26,Safeco Field,47.5914138,-122.33202253168486,184.54,15.0,18.5,9.6,8.1,83.4,11.7,0.0,0.0,7.2,60.41,0.0
3142,2018-05-26,Miller Park,43.0280619,-87.97209586840819,196.25,24.7,29.2,9.9,13.4,39.4,19.9,0.0,0.0,16.7,62.63,0.0
3143,2018-05-26,Dodger Stadium,34.074552350000005,-118.24004805779221,200.54,17.1,20.7,9.9,8.3,24.7,13.2,0.0,0.0,10.9,67.81,0.0
3144,2018-05-26,Wrigley Field,41.9481225,-87.6563513145702,207.54,26.1,31.7,9.5,10.0,57.6,20.8,1.36,0.0,17.0,60.31,8.33
3145,2018-05-26,PNC Park,40.446925799999995,-80.00560626612204,216.88,23.1,28.4,9.7,7.2,52.6,18.5,8.18,0.0,17.7,74.05,16.67
3146,2018-05-26,Citizens Bank Park,39.90588575,-75.16541101747245,222.17,25.2,31.7,9.4,11.6,60.1,20.6,20.58,0.0,19.3,70.82,16.67
3147,2018-05-26,Marlins Park,25.7782474,-80.21980500744203,109.17,24.4,25.7,8.0,18.2,91.8,22.6,33.12,0.0,22.9,91.2,62.5
3148,2018-05-27,Yankee Stadium,40.82958275,-73.92652118491901,87.38,18.2,26.7,8.3,16.3,90.6,13.9,11.55,0.0,14.7,80.78,29.17
3149,2018-05-27,Oakland Coliseum,37.75167500000001,-122.19937132239198,226.13,15.7,22.0,9.5,14.8,28.4,10.2,0.0,0.0,11.2,76.12,0.0
3150,2018-05-27,Fenway Park,42.346462100000004,-71.0971002033302,56.54,12.7,17.1,9.5,21.6,99.1,10.1,0.75,0.0,10.0,83.83,33.33
3151,2018-05-27,Tropicana Field,27.7680559,-82.65327550461797,149.13,25.8,28.8,9.4,27.6,77.7,22.8,5.08,0.0,23.2,86.16,25.0
3152,2018-05-27,Comerica Park,42.33915895,-83.04962481782741,178.42,24.6,31.0,9.0,9.5,13.7,17.5,0.0,0.0,18.7,71.96,0.0
3153,2018-05-27,Coors Field,39.756031400000005,-104.99292855531492,240.67,22.2,29.4,9.9,18.1,73.9,14.9,0.1,0.0,2.0,27.99,4.17
3154,2018-05-27,Progressive Field,41.4960144,-81.68420022215649,139.79,23.6,27.8,9.0,8.0,35.0,19.3,0.0,0.0,18.4,74.14,0.0
3155,2018-05-27,Globe Life Park in Arlington,32.7513904,-97.08347649984135,123.21,29.7,34.9,9.9,9.5,11.5,23.6,0.0,0.0,20.4,59.53,0.0
3156,2018-05-27,Safeco Field,47.5914138,-122.33202253168486,259.79,16.7,23.4,9.5,7.0,14.9,10.9,0.0,0.0,7.4,56.22,0.0
3157,2018-05-27,Miller Park,43.0280619,-87.97209586840819,160.67,26.2,34.6,9.9,12.4,39.7,20.6,0.19,0.0,17.0,58.93,8.33
